epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.737,1.06921,1.92525,1.07561,0.84288,0.76299,0.81468,0.59606,0.93926,0.85491,0.98559,0.000237679,0.000237679,0.000237679
2,892.406,0.98519,1.06712,1.03486,0.78924,0.78507,0.84566,0.64501,0.85638,0.70197,0.96033,0.000459981,0.000459981,0.000459981
3,1309.95,0.94879,0.87491,1.0282,0.80683,0.78128,0.84531,0.64903,0.85469,0.70352,0.95594,0.000666576,0.000666576,0.000666576
4,1724.67,0.92028,0.78306,1.02042,0.83541,0.81872,0.86631,0.67152,0.83006,0.56607,0.95418,0.000643314,0.000643314,0.000643314
5,2141.83,0.89498,0.71226,1.00723,0.82492,0.81556,0.86839,0.6904,0.78531,0.52983,0.93437,0.000619752,0.000619752,0.000619752
6,2568,0.87476,0.6721,0.99947,0.93908,0.82537,0.86724,0.68843,0.77263,0.4869,0.92461,0.00059619,0.00059619,0.00059619
7,2986.99,0.85485,0.63379,0.98992,0.85318,0.83957,0.87648,0.70116,0.75558,0.45861,0.92459,0.000572628,0.000572628,0.000572628
8,3408.43,0.84918,0.61587,0.98974,0.95702,0.83103,0.87833,0.708,0.7446,0.44196,0.92203,0.000549066,0.000549066,0.000549066
9,3800.61,0.83632,0.59488,0.98506,0.96881,0.84594,0.88335,0.71787,0.7332,0.42133,0.91415,0.000525504,0.000525504,0.000525504
10,464.769,0.82387,0.57993,0.97809,0.96181,0.95811,0.98525,0.80736,0.71027,0.39353,0.90758,0.000501942,0.000501942,0.000501942
11,875.262,0.81228,0.56616,0.97509,0.97233,0.95252,0.98646,0.81037,0.71044,0.3818,0.90687,0.00047838,0.00047838,0.00047838
12,1255.96,0.80512,0.54718,0.97355,0.9649,0.94872,0.98501,0.81037,0.71177,0.38143,0.90857,0.000454818,0.000454818,0.000454818
13,1636.13,0.79581,0.54001,0.96681,0.97213,0.95196,0.98316,0.81297,0.69664,0.37463,0.89032,0.000431256,0.000431256,0.000431256
14,2014.65,0.78662,0.52731,0.96364,0.97094,0.96483,0.98921,0.81938,0.69198,0.35549,0.89293,0.000407694,0.000407694,0.000407694
15,2391.55,0.78304,0.52086,0.96237,0.97117,0.95632,0.98826,0.8191,0.68771,0.35832,0.88545,0.000384132,0.000384132,0.000384132
16,2770.86,0.77392,0.50285,0.95737,0.96807,0.96154,0.98888,0.82536,0.68046,0.34911,0.88492,0.00036057,0.00036057,0.00036057
17,3147.13,0.76727,0.49751,0.95585,0.97671,0.96332,0.98957,0.82525,0.67333,0.34152,0.88422,0.000337008,0.000337008,0.000337008
18,3527.69,0.76435,0.49252,0.95306,0.98185,0.96065,0.99042,0.83018,0.66797,0.32995,0.88354,0.000313446,0.000313446,0.000313446
19,3905.65,0.76048,0.48648,0.95263,0.97889,0.95555,0.98929,0.83029,0.66718,0.33392,0.88086,0.000289884,0.000289884,0.000289884
20,4281.49,0.75512,0.47931,0.95007,0.97279,0.96671,0.99067,0.83108,0.66397,0.32724,0.88399,0.000266322,0.000266322,0.000266322
21,4617.57,0.70503,0.37812,0.92024,0.97278,0.96842,0.98974,0.83111,0.66402,0.32918,0.87257,0.00024276,0.00024276,0.00024276
22,4956.37,0.69161,0.36725,0.91374,0.98141,0.96398,0.99088,0.83237,0.65946,0.32422,0.88005,0.000219198,0.000219198,0.000219198
23,5293.59,0.68379,0.35879,0.91131,0.97918,0.96267,0.98962,0.83128,0.65877,0.31657,0.87404,0.000195636,0.000195636,0.000195636
24,5632.43,0.67742,0.35,0.90914,0.98055,0.96663,0.99114,0.8357,0.65021,0.31404,0.88429,0.000172074,0.000172074,0.000172074
25,5993.77,0.66969,0.34376,0.90646,0.9758,0.97472,0.99167,0.83774,0.64892,0.30801,0.87226,0.000148512,0.000148512,0.000148512
26,6357.49,0.66293,0.33635,0.90424,0.97852,0.97448,0.99186,0.83923,0.64102,0.30172,0.86959,0.00012495,0.00012495,0.00012495
27,6721.36,0.65623,0.33069,0.89892,0.98371,0.9686,0.99158,0.84185,0.63672,0.29954,0.87299,0.000101388,0.000101388,0.000101388
28,7098.72,0.64957,0.32254,0.89607,0.9745,0.96981,0.99148,0.84301,0.63339,0.29629,0.86972,7.7826e-05,7.7826e-05,7.7826e-05
29,7486.66,0.64176,0.31571,0.89426,0.98113,0.97219,0.99145,0.84426,0.63253,0.29332,0.86512,5.4264e-05,5.4264e-05,5.4264e-05
30,7863.78,0.63674,0.31039,0.89235,0.9819,0.97228,0.9918,0.84366,0.63042,0.28901,0.86899,3.0702e-05,3.0702e-05,3.0702e-05
